日付,キャンペーン名,広告費,広告経由売上,クリック数,表示回数
2026-05-01,スポンサープロダクト_主力,2158,8135,230,13352
2026-05-01,スポンサーブランド_新商品,2046,11469,74,2204
2026-05-02,スポンサープロダクト_主力,2775,7779,108,17933
2026-05-02,スポンサーブランド_新商品,3552,10647,95,13070
2026-05-03,スポンサープロダクト_主力,2805,11092,172,6678
2026-05-03,スポンサーブランド_新商品,2703,13054,236,3941
2026-05-04,スポンサープロダクト_主力,3049,10660,61,17339
2026-05-04,スポンサーブランド_新商品,2737,7082,157,3252
2026-05-05,スポンサープロダクト_主力,4158,20928,155,6401
2026-05-05,スポンサーブランド_新商品,2384,8461,93,3222
2026-05-06,スポンサープロダクト_主力,3181,9389,231,10586
2026-05-06,スポンサーブランド_新商品,1872,13598,73,11885
2026-05-07,スポンサープロダクト_主力,4159,23533,111,16530
2026-05-07,スポンサーブランド_新商品,1261,7587,99,10157
2026-05-08,スポンサープロダクト_主力,2791,12477,80,2058
2026-05-08,スポンサーブランド_新商品,2813,16619,143,6947
2026-05-09,スポンサープロダクト_主力,3778,12103,128,8162
2026-05-09,スポンサーブランド_新商品,2094,6501,124,2028
2026-05-10,スポンサープロダクト_主力,2129,13314,254,8525
2026-05-10,スポンサーブランド_新商品,1291,9294,90,13682
2026-05-11,スポンサープロダクト_主力,848,5943,114,6148
2026-05-11,スポンサーブランド_新商品,2324,6565,139,16253
2026-05-12,スポンサープロダクト_主力,3213,9260,149,14380
2026-05-12,スポンサーブランド_新商品,1927,13048,111,3666
2026-05-13,スポンサープロダクト_主力,1011,6747,113,12403
2026-05-13,スポンサーブランド_新商品,1409,5279,108,9147
2026-05-14,スポンサープロダクト_主力,2892,11794,237,8116
2026-05-14,スポンサーブランド_新商品,4015,29233,47,15303
2026-05-15,スポンサープロダクト_主力,3919,22160,181,10998
2026-05-15,スポンサーブランド_新商品,1633,9958,52,17293
2026-05-16,スポンサープロダクト_主力,3799,17302,197,14331
2026-05-16,スポンサーブランド_新商品,1367,7823,113,9955
2026-05-17,スポンサープロダクト_主力,1000,7060,180,4085
2026-05-17,スポンサーブランド_新商品,1499,7287,127,6616
2026-05-18,スポンサープロダクト_主力,2019,7629,229,17995
2026-05-18,スポンサーブランド_新商品,3473,13200,207,5910
2026-05-19,スポンサープロダクト_主力,2032,9989,211,8461
2026-05-19,スポンサーブランド_新商品,1290,4304,81,3231
2026-05-20,スポンサープロダクト_主力,1651,8260,247,10144
2026-05-20,スポンサーブランド_新商品,3054,10995,125,14439
2026-05-21,スポンサープロダクト_主力,2643,12256,180,5152
2026-05-21,スポンサーブランド_新商品,1799,5313,127,11107
2026-05-22,スポンサープロダクト_主力,1173,4805,134,6232
2026-05-22,スポンサーブランド_新商品,4115,22007,45,14282
2026-05-23,スポンサープロダクト_主力,2490,10991,230,10587
2026-05-23,スポンサーブランド_新商品,1660,7278,126,14322
2026-05-24,スポンサープロダクト_主力,1054,5260,187,17854
2026-05-24,スポンサーブランド_新商品,2275,7119,168,10670
2026-05-25,スポンサープロダクト_主力,3378,21793,257,5538
2026-05-25,スポンサーブランド_新商品,1179,4545,103,8300
2026-05-26,スポンサープロダクト_主力,2437,13961,150,17629
2026-05-26,スポンサーブランド_新商品,2078,14013,45,4084
2026-05-27,スポンサープロダクト_主力,932,4311,235,16675
2026-05-27,スポンサーブランド_新商品,4094,19923,190,10025
2026-05-28,スポンサープロダクト_主力,800,2293,251,10648
2026-05-28,スポンサーブランド_新商品,2717,20000,103,14830
2026-05-29,スポンサープロダクト_主力,1246,4509,78,10558
2026-05-29,スポンサーブランド_新商品,3593,10939,251,13824
2026-05-30,スポンサープロダクト_主力,3671,21060,235,16661
2026-05-30,スポンサーブランド_新商品,2673,7819,238,2647
2026-05-31,スポンサープロダクト_主力,805,5161,99,11328
2026-05-31,スポンサーブランド_新商品,953,5458,117,17768
