purchase-date	order-id	item-price	販売手数料	返金額
2026-05-01T10:23:11+09:00	249-7624039-1234567	3980	597	0
2026-05-01T10:23:11+09:00	249-2215279-1234567	2480	372	0
2026-05-01T10:23:11+09:00	249-7135241-1234567	2480	372	0
2026-05-01T10:23:11+09:00	249-9513358-1234567	2480	372	0
2026-05-01T10:23:11+09:00	249-1629072-1234567	3980	597	0
2026-05-02T10:23:11+09:00	249-8015764-1234567	8800	1320	0
2026-05-02T10:23:11+09:00	249-5037655-1234567	2480	372	0
2026-05-02T10:23:11+09:00	249-8122250-1234567	2480	372	0
2026-05-03T10:23:11+09:00	249-4745328-1234567	2480	372	0
2026-05-03T10:23:11+09:00	249-7655194-1234567	2480	372	0
2026-05-03T10:23:11+09:00	249-4709137-1234567	2480	372	0
2026-05-04T10:23:11+09:00	249-5858837-1234567	3980	597	0
2026-05-04T10:23:11+09:00	249-3420198-1234567	8800	1320	0
2026-05-04T10:23:11+09:00	249-6175466-1234567	2480	372	0
2026-05-05T10:23:11+09:00	249-2728987-1234567	3980	597	0
2026-05-05T10:23:11+09:00	249-7247794-1234567	3980	597	0
2026-05-05T10:23:11+09:00	249-2053424-1234567	2480	372	0
2026-05-05T10:23:11+09:00	249-4455413-1234567	2480	372	0
2026-05-05T10:23:11+09:00	249-9920785-1234567	8800	1320	0
2026-05-05T10:23:11+09:00	249-6270514-1234567	8800	1320	0
2026-05-05T10:23:11+09:00	249-8603172-1234567	8800	1320	0
2026-05-06T10:23:11+09:00	249-5167906-1234567	5980	897	0
2026-05-06T10:23:11+09:00	249-5095259-1234567	3980	597	0
2026-05-06T10:23:11+09:00	249-6037344-1234567	2480	372	0
2026-05-06T10:23:11+09:00	249-6762565-1234567	8800	1320	0
2026-05-06T10:23:11+09:00	249-5830794-1234567	8800	1320	0
2026-05-07T10:23:11+09:00	249-2980815-1234567	2480	372	0
2026-05-07T10:23:11+09:00	249-3767604-1234567	8800	1320	0
2026-05-07T10:23:11+09:00	249-3549877-1234567	5980	897	0
2026-05-07T10:23:11+09:00	249-8074924-1234567	8800	1320	0
2026-05-07T10:23:11+09:00	249-2302255-1234567	2480	372	0
2026-05-07T10:23:11+09:00	249-6706306-1234567	5980	897	0
2026-05-07T10:23:11+09:00	249-9332820-1234567	5980	897	0
2026-05-08T10:23:11+09:00	249-2153650-1234567	8800	1320	0
2026-05-08T10:23:11+09:00	249-5528829-1234567	2480	372	0
2026-05-08T10:23:11+09:00	249-2090518-1234567	8800	1320	0
2026-05-08T10:23:11+09:00	249-6194349-1234567	2480	372	0
2026-05-08T10:23:11+09:00	249-5774720-1234567	8800	1320	0
2026-05-08T10:23:11+09:00	249-6821782-1234567	8800	1320	0
2026-05-08T10:23:11+09:00	249-8745961-1234567	2480	372	0
2026-05-09T10:23:11+09:00	249-2964541-1234567	3980	597	0
2026-05-09T10:23:11+09:00	249-1989091-1234567	8800	1320	0
2026-05-09T10:23:11+09:00	249-5822307-1234567	3980	597	0
2026-05-09T10:23:11+09:00	249-5154287-1234567	3980	597	0
2026-05-09T10:23:11+09:00	249-7559047-1234567	8800	1320	0
2026-05-10T10:23:11+09:00	249-2351929-1234567	8800	1320	0
2026-05-10T10:23:11+09:00	249-8536114-1234567	3980	597	0
2026-05-10T10:23:11+09:00	249-5661367-1234567	8800	1320	0
2026-05-10T10:23:11+09:00	249-8222954-1234567	3980	597	0
2026-05-10T10:23:11+09:00	249-7967519-1234567	5980	897	0
2026-05-10T10:23:11+09:00	249-7382745-1234567	5980	897	0
2026-05-10T10:23:11+09:00	249-3532032-1234567	3980	597	0
2026-05-10T10:23:11+09:00	249-3956442-1234567	2480	372	0
2026-05-10T10:23:11+09:00	249-4891590-1234567	3980	597	0
2026-05-11T10:23:11+09:00	249-1202384-1234567	3980	597	0
2026-05-11T10:23:11+09:00	249-4059205-1234567	8800	1320	0
2026-05-11T10:23:11+09:00	249-5730012-1234567	5980	897	0
2026-05-11T10:23:11+09:00	249-3444044-1234567	2480	372	0
2026-05-11T10:23:11+09:00	249-9968948-1234567	8800	1320	0
2026-05-11T10:23:11+09:00	249-6345416-1234567	5980	897	0
2026-05-11T10:23:11+09:00	249-9648511-1234567	3980	597	0
2026-05-11T10:23:11+09:00	249-8661210-1234567	2480	372	0
2026-05-12T10:23:11+09:00	249-7678500-1234567	8800	1320	0
2026-05-12T10:23:11+09:00	249-7612236-1234567	8800	1320	0
2026-05-12T10:23:11+09:00	249-9078612-1234567	2480	372	0
2026-05-12T10:23:11+09:00	249-2044345-1234567	8800	1320	0
2026-05-12T10:23:11+09:00	249-2129905-1234567	3980	597	0
2026-05-12T10:23:11+09:00	249-8392492-1234567	3980	597	0
2026-05-12T10:23:11+09:00	249-2844290-1234567	3980	597	0
2026-05-12T10:23:11+09:00	249-1882072-1234567	5980	897	0
2026-05-12T10:23:11+09:00	249-1003913-1234567	2480	372	0
2026-05-13T10:23:11+09:00	249-2702289-1234567	3980	597	0
2026-05-13T10:23:11+09:00	249-1427833-1234567	5980	897	0
2026-05-13T10:23:11+09:00	249-4488867-1234567	2480	372	0
2026-05-13T10:23:11+09:00	249-3492263-1234567	8800	1320	0
2026-05-13T10:23:11+09:00	249-6828229-1234567	5980	897	0
2026-05-13T10:23:11+09:00	249-8954941-1234567	5980	897	0
2026-05-13T10:23:11+09:00	249-2935310-1234567	2480	372	0
2026-05-14T10:23:11+09:00	249-8818005-1234567	8800	1320	0
2026-05-14T10:23:11+09:00	249-9117398-1234567	8800	1320	0
2026-05-14T10:23:11+09:00	249-2440905-1234567	5980	897	0
2026-05-14T10:23:11+09:00	249-2714423-1234567	3980	597	0
2026-05-14T10:23:11+09:00	249-5441883-1234567	5980	897	0
2026-05-14T10:23:11+09:00	249-3708490-1234567	8800	1320	0
2026-05-14T10:23:11+09:00	249-4442936-1234567	2480	372	0
2026-05-14T10:23:11+09:00	249-3459582-1234567	5980	897	0
2026-05-14T10:23:11+09:00	249-9860206-1234567	2480	372	0
2026-05-15T10:23:11+09:00	249-5380786-1234567	2480	372	0
2026-05-15T10:23:11+09:00	249-3802500-1234567	5980	897	0
2026-05-15T10:23:11+09:00	249-4737842-1234567	5980	897	0
2026-05-15T10:23:11+09:00	249-4742018-1234567	5980	897	0
2026-05-15T10:23:11+09:00	249-5016258-1234567	3980	597	0
2026-05-16T10:23:11+09:00	249-4804057-1234567	8800	1320	0
2026-05-16T10:23:11+09:00	249-9684536-1234567	3980	597	0
2026-05-16T10:23:11+09:00	249-6965349-1234567	8800	1320	0
2026-05-16T10:23:11+09:00	249-1468706-1234567	2480	372	0
2026-05-16T10:23:11+09:00	249-8922873-1234567	5980	897	0
2026-05-16T10:23:11+09:00	249-4248823-1234567	5980	897	0
2026-05-16T10:23:11+09:00	249-8503235-1234567	5980	897	0
2026-05-16T10:23:11+09:00	249-7117575-1234567	5980	897	0
2026-05-16T10:23:11+09:00	249-4698744-1234567	2480	372	0
2026-05-17T10:23:11+09:00	249-8886633-1234567	3980	597	0
2026-05-17T10:23:11+09:00	249-6666294-1234567	3980	597	0
2026-05-17T10:23:11+09:00	249-9097578-1234567	3980	597	0
2026-05-18T10:23:11+09:00	249-9044229-1234567	2480	372	0
2026-05-18T10:23:11+09:00	249-2422346-1234567	5980	897	0
2026-05-18T10:23:11+09:00	249-7518548-1234567	2480	372	0
2026-05-18T10:23:11+09:00	249-9020058-1234567	3980	597	0
2026-05-18T10:23:11+09:00	249-8280054-1234567	3980	597	0
2026-05-18T10:23:11+09:00	249-2455421-1234567	5980	897	0
2026-05-18T10:23:11+09:00	249-8770544-1234567	8800	1320	0
2026-05-19T10:23:11+09:00	249-3665162-1234567	2480	372	0
2026-05-19T10:23:11+09:00	249-3131350-1234567	3980	597	0
2026-05-19T10:23:11+09:00	249-3535887-1234567	2480	372	0
2026-05-19T10:23:11+09:00	249-3452397-1234567	8800	1320	0
2026-05-19T10:23:11+09:00	249-6878862-1234567	8800	1320	0
