日付,注文件数,売上,決済手数料,配送料
2026-05-01,4,41112,0,0
2026-05-02,3,33131,0,0
2026-05-03,1,34324,0,0
2026-05-04,4,37255,0,0
2026-05-05,0,44988,0,0
2026-05-06,4,44754,0,0
2026-05-07,1,5576,0,0
2026-05-08,0,2743,0,0
2026-05-09,1,41754,0,0
2026-05-10,2,6875,0,0
2026-05-11,3,29582,0,0
2026-05-12,4,3327,0,0
2026-05-13,0,41040,0,0
2026-05-14,4,44608,0,0
2026-05-15,1,32066,0,0
2026-05-16,2,217,0,0
2026-05-17,3,4594,0,0
2026-05-18,4,35074,0,0
2026-05-19,0,43207,0,0
2026-05-20,4,4328,0,0
2026-05-21,3,16527,0,0
2026-05-22,0,17403,0,0
2026-05-23,1,13449,0,0
2026-05-24,1,42593,0,0
2026-05-25,3,32371,0,0
2026-05-26,3,5029,0,0
2026-05-27,3,44806,0,0
2026-05-28,2,3063,0,0
2026-05-29,4,41470,0,0
2026-05-30,1,5077,0,0
2026-05-31,4,9661,0,0
