日付,メニュー,消化金額,経由売上,クリック
2026/05/01,RPP,"￥2,548","￥28,528",94
2026/05/02,RPP,"￥5,827","￥28,849",141
2026/05/03,RPP,"￥2,418","￥11,258",48
2026/05/04,RPP,"￥3,960","￥25,184",179
2026/05/05,RPP,"￥3,070","￥20,716",96
2026/05/06,RPP,"￥3,331","￥33,902",30
2026/05/07,RPP,"￥1,585","￥25,612",107
2026/05/08,RPP,"￥5,273","￥17,129",110
2026/05/09,RPP,"￥3,485","￥23,574",164
2026/05/10,RPP,"￥3,423","￥25,924",93
2026/05/11,RPP,"￥1,739","￥39,477",135
2026/05/12,RPP,"￥4,018","￥9,812",35
2026/05/13,RPP,"￥3,090","￥24,328",137
2026/05/14,RPP,"￥2,164","￥16,429",88
2026/05/15,RPP,"￥4,976","￥38,315",124
2026/05/16,RPP,"￥3,357","￥24,152",38
2026/05/17,RPP,"￥4,269","￥31,538",137
2026/05/18,RPP,"￥4,468","￥30,366",131
2026/05/19,RPP,"￥3,122","￥8,221",104
2026/05/20,RPP,"￥5,635","￥10,209",82
2026/05/21,RPP,"￥5,560","￥39,780",81
2026/05/22,RPP,"￥4,053","￥33,095",79
2026/05/23,RPP,"￥3,390","￥23,240",86
2026/05/24,RPP,"￥3,671","￥32,919",105
2026/05/25,RPP,"￥2,392","￥39,192",156
2026/05/26,RPP,"￥3,034","￥37,375",87
2026/05/27,RPP,"￥5,473","￥21,665",44
2026/05/28,RPP,"￥2,699","￥38,209",130
2026/05/29,RPP,"￥1,945","￥14,977",36
2026/05/30,RPP,"￥2,662","￥21,611",43
2026/05/31,RPP,"￥1,992","￥14,032",130
