受注日,受注件数,売上金額,システム利用料,送料
2026/05/01,3,"54,327","2,412",0
2026/05/02,3,"60,893","7,150",550
2026/05/03,6,"46,983","4,375",550
2026/05/04,6,"43,317","4,216",550
2026/05/05,2,"52,826","2,302",0
2026/05/06,2,"86,277","6,514",0
2026/05/07,6,"82,227","4,012",550
2026/05/08,2,"76,646","7,378",550
2026/05/09,6,"71,522","6,150",550
2026/05/10,7,"48,204","3,880",550
2026/05/11,3,"38,313","5,315",550
2026/05/12,2,"37,015","2,116",0
2026/05/13,7,"53,501","5,528",0
2026/05/14,2,"31,073","7,449",550
2026/05/15,6,"56,953","6,905",0
2026/05/16,7,"58,411","2,370",550
2026/05/17,3,"40,648","4,203",550
2026/05/18,2,"54,503","4,983",550
2026/05/19,6,"62,406","4,002",0
2026/05/20,4,"48,556","4,921",0
2026/05/21,2,"63,952","5,126",0
2026/05/22,5,"56,559","6,118",880
2026/05/23,3,"52,529","6,134",0
2026/05/24,2,"54,625","8,693",0
2026/05/25,3,"72,364","6,807",0
2026/05/26,5,"22,948","4,454",550
2026/05/27,7,"50,514","2,692",880
2026/05/28,6,"40,349","7,386",880
2026/05/29,6,"71,054","8,261",550
2026/05/30,7,"84,774","3,224",550
2026/05/31,7,"38,972","2,358",880
